sentiment,count,fraction,ymax,ymin
anger,891,0.09049360146252285,0.09049360146252285,0
anticipation,1213,0.12319723745683527,0.2136908389193581,0.09049360146252285
disgust,491,0.04986796668697949,0.2635588056063376,0.2136908389193581
fear,727,0.07383709120455006,0.33739589681088766,0.2635588056063376
joy,639,0.06489945155393052,0.4022953483648182,0.33739589681088766
negative,1683,0.17093235831809872,0.5732277066829169,0.4022953483648182
positive,2159,0.21927686370099533,0.7925045703839122,0.5732277066829169
sadness,663,0.06733698964046313,0.8598415600243754,0.7925045703839122
surprise,387,0.03930530164533821,0.8991468616697136,0.8598415600243754
trust,993,0.1008531383302864,1,0.8991468616697136
